what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342765945216
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342765958192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342765960967
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342765961467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342765965273
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342765972530
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1342765972590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342765973463
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342766674959
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342766705219
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767172363
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767205659
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767294175
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767310091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767311920
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342767312233
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342767312354
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342767336309
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342767339731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342767365793
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342767367853
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342767369223
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342767382469
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767384024
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767647845
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342767656424
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342767696387
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342767699818
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342767700979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342767701838
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1342767702712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342767715384
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767723750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767731863
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1342767731936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767740420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767743738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767744275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767757825
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767758350
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767794687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342767795915
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342768897273
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342768898466
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769222432
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342769267568
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769278963
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769286970
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1342769287041
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769287463
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769296687
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769297430
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769530712
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342769548697
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1342769559541
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342769560323
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769581654
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769607538
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1342769616256
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1342769630572
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1342769630883
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1342769631201
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1342769631598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1342769631966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342769632888
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769633434
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769651196
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769690068
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769705627
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342769746249
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1342769790837
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342769798614
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769809203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769816303
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1342769816508
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342769818903
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342777578321
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342777580568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342777581618
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342777582532
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1342777583801
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1342777606582
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1342777607062
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1342777607203
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1342777607786
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1342777607982
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1342777608018
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1342777608018
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1342777609463
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1342944922269
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1342944922271
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1342944922284
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1342944922309
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1342944922333
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1342944922342
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1342944922360
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1342944922369
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1342944922379
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1342944922391
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1342944922409
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1342944922411
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1342944922424
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1342944922445
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1342944922448
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1342944922465
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1342944922510
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1342944922570
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1342944922630
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1342944922759
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1342944922769
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1342944922815
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1342944922830
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1342944922849
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1342944922894
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1342944922904
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1342944922913
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1342944922924
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1342944922944
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1342944922964
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1342944922984
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1342944922994
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1342944923004
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1342944923024
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1342944923034
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1342944923044
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1342944923054
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1342944923064
