what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343196511792
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196512612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1343196512692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196524537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196526102
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196527307
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196527429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196532538
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196661000
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343196665017
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343196666478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196667979
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1343196668042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196674184
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1343196681624
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343196683362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343196686302
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196687501
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196783913
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196785105
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196786213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196787505
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196840466
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196845365
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1343196845435
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196852774
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343196856382
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196856737
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196858655
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343196867434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196868184
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196870822
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196873182
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196929254
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196933415
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1343196933475
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196950079
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196950925
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196956050
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343196964921
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1343196964931
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343196994337
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197062392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343197081025
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197084696
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197092234
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1343197092264
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197094681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197095711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197100420
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197149806
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343197156812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197158652
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1343197158712
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197163408
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343197166488
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343197220914
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343197222144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1343197226601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1343197229473
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343197239564
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197245540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197253587
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1343197253627
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197254515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197305344
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343197314480
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197328993
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197336130
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1343197336170
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197345106
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197351987
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197352567
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197373621
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343197386164
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1343197386195
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1343197395118
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343197401935
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343197418618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197421313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197429122
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1343197429154
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197430168
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197434225
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197434708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197470360
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343197522458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343197527238
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197531394
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197536052
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1343197536062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343197563459
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197565620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197574135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1343197574195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197576275
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197579750
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197580410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197622402
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197624262
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1343197624368
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197628551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1343197632184
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197633658
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197701402
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197704192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1343197704258
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343197723412
