what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1343356205401
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1343356205401
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1343356205416
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1343356205416
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1343356205416
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1343356205416
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1343356205432
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1343356205432
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1343356205432
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1343356205432
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1343356205432
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1343356205432
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1343356205448
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1343356205448
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1343356205448
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1343356205448
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1343356205448
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1343356205448
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1343356205448
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1343356205463
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1343356205463
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1343356205463
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1343356205463
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1343356205463
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1343356205463
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1343356205463
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1343356205463
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1343356205463
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1343356205463
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1343356205463
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1343356205463
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1343356205479
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1343356205479
os,sysinfo,,,"win32",1343356205479
arch,sysinfo,,,"x86_64",1343356205479
ws,sysinfo,,,"win32",1343356205479
locale,sysinfo,,,"en_US",1343356205479
processors,sysinfo,,,"2",1343356205479
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1343356205479
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1343356205479
java.specification.name,sysinfo,,,"Java Platform API Specification",1343356205479
java.specification.vendor,sysinfo,,,"Oracle Corporation",1343356205479
java.specification.version,sysinfo,,,"1.7",1343356205479
java.vendor,sysinfo,,,"Oracle Corporation",1343356205479
java.version,sysinfo,,,"1.7.0_04",1343356205479
java.vm.info,sysinfo,,,"mixed mode",1343356205479
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1343356205479
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1343356205479
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1343356205479
java.vm.specification.version,sysinfo,,,"1.7",1343356205479
java.vm.vendor,sysinfo,,,"Oracle Corporation",1343356205479
java.vm.version,sysinfo,,,"23.0-b21",1343356205479
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1343356205494
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356205650
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356321783
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356329551
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1343356329598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356357113
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356376457
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356412997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356426625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356439809
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356474014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356479065
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356487446
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1343356487486
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356894817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356896579
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356897571
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343356897829
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343356897892
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1343356923138
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.open.editor",1343356925370
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343356955450
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343356955522
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356956848
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1343356956895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356965582
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343356965722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356966324
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356986307
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1343356989867
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace",1343356990070
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1343356990279
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356990389
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1343356990461
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1343356990653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343356991412
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343356993696
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1343357001574
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace",1343357001592
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343357001920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343357002483
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343357004286
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343357004398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343357067751
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343357733847
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343357735219
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343357737061
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343357737389
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1343357739152
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1343357739510
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1343357739635
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1343357739822
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1343368320011
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1343368320011
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1343368320011
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1343368320043
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1343368320058
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1343368320058
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1343368320074
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1343368320089
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1343368320136
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1343368320152
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1343368320152
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1343368320152
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1343368320167
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1343368320183
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1343368320277
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1343368320292
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1343368320339
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1343368320464
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1343368320526
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1343368320604
