what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1342424680924
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342424681075
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1342424685333
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342424685536
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342424688957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342424691457
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342424693993
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342424721473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342424743452
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342424744272
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342424749613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342425068103
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342425097493
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342425098014
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342425108860
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342425114767
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342425173182
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342425189887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342425217224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342425284221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342425400544
