what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342995307713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.navigate.backwardHistory",1342995307713
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342995313300
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342995332700
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342995338620
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342995374975
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342995434631
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342995438410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342995441392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342995493314
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342995519141
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342995629868
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1342995751957
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342996373087
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342996625497
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342996662813
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342996670704
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.export",1342996670753
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342996672136
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1342996674189
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342996678137
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1342996690627
