what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343012816768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343012822103
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343012825000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343012826088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343012826311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343012854097
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1343012884074
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace",1343012884095
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343012889497
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1343012897159
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343012897357
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343012904260
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343012918837
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1343013029362
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace",1343013029383
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343013032807
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1343013034358
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343013034646
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1343013035906
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343013036142
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1343013041091
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343013041354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343013093433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1343013093499
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343013098226
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1343013098260
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343013098430
activated,view,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search.ui.views.SearchView",1343013103262
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace",1343013103285
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1343013105177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343013108108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343013135638
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343013137885
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343013137963
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343013157515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343013162382
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343013186546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343013187777
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343013188705
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343014270280
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1343014527197
